City,Cloud Cover,Country,Date,Humidity,Lat,Lon,Temp,Wind Speed
Collie,96,AU,1562177665,45,-33.36,116.15,57.99,8.77
Victoria,75,BN,1562177665,83,5.28,115.24,82.4,1.12
Mount Gambier,75,AU,1562177533,93,-37.83,140.78,41.0,10.07
Nha Trang,20,VN,1562177586,66,12.24,109.19,84.2,12.75
Pevek,100,RU,1562177078,99,69.7,170.27,33.02,6.82
Pevek,100,RU,1562177078,99,69.7,170.27,33.02,6.82
Aginskoye,50,RU,1562177666,68,51.11,114.54,57.0,5.01
Ancud,40,CL,1562177666,87,-41.87,-73.83,46.4,5.82
San Quintin,100,PH,1562177666,94,17.54,120.52,75.32,3.78
Fortuna,75,US,1562177566,87,40.6,-124.16,70.0,9.17
Mae Hong Son,98,MM,1562177666,98,19.3,97.96,68.48,1.72
Pisco,90,PE,1562177667,30,-13.71,-76.2,71.6,5.82
Dudinka,0,RU,1562177667,60,69.41,86.18,69.8,2.24
Sao Filipe,61,CV,1562177169,86,14.9,-24.5,73.7,13.89
Zacualpan,20,MX,1562177667,51,21.25,-105.17,89.01,6.8
Quatre Cocos,75,MU,1562177667,94,-20.21,57.76,69.8,3.36
Katobu,94,ID,1562177667,93,-4.94,122.53,72.08,4.41
Faanui,81,PF,1562177576,71,-16.48,-151.75,77.12,33.44
Nikolskoye,90,RU,1562177538,87,59.7,30.79,60.01,8.95
Hambantota,84,LK,1562177668,81,6.12,81.12,83.24,15.82
Safranbolu,0,TR,1562177668,61,41.25,32.69,77.0,12.75
Mildura,0,AU,1562177668,93,-34.18,142.16,44.01,5.82
East London,0,ZA,1562177668,82,-33.02,27.91,59.0,10.29
Baoshan,0,CN,1562177668,83,31.41,121.49,75.2,4.47
Baoshan,0,CN,1562177668,83,31.41,121.49,75.2,4.47
Clinton,1,US,1562177669,48,41.28,-72.53,91.99,3.2
Chatra,40,IN,1562177669,83,24.21,84.87,84.2,2.24
Bougouni,94,ML,1562177669,86,11.42,-7.49,76.94,18.19
Snezhnogorsk,90,RU,1562177669,93,69.19,33.23,48.2,11.18
Port Lincoln,0,AU,1562177669,76,-34.72,135.86,57.86,18.99
Puerto del Rosario,20,ES,1562177094,69,28.5,-13.86,77.0,18.34
Acapulco,20,MX,1562177670,62,16.86,-99.88,89.6,4.7
Port Alfred,0,ZA,1562177670,88,-33.59,26.89,59.0,1.01
Ribeira Grande,20,PT,1562177078,64,38.52,-28.7,75.2,6.93
Bonavista,92,CA,1562177628,85,48.65,-53.11,57.0,7.0
Baykit,0,RU,1562177670,56,61.68,96.39,57.32,3.76
Genhe,49,CN,1562177670,84,50.78,121.52,52.28,1.97
Touros,75,BR,1562177671,74,-5.2,-35.46,82.4,13.87
Lincoln,20,GB,1562177460,63,53.23,-0.54,70.0,9.17
Kamaishi,100,JP,1562177671,87,39.28,141.86,57.68,1.34
Acajutla,16,SV,1562177671,69,13.59,-89.83,83.6,7.65
Nihommatsu,100,JP,1562177671,65,37.58,140.43,66.99,4.05
Azacualpa,40,HN,1562177671,49,15.34,-88.55,93.2,9.17
Georgetown,75,GY,1562177469,78,6.8,-58.16,86.0,6.93
Kulhudhuffushi,84,MV,1562177682,76,6.62,73.07,83.24,10.4
Sobolevo,57,RU,1562177682,90,54.43,31.9,52.64,10.8
Gorontalo,86,ID,1562177682,93,0.54,123.06,72.08,2.42
Haimen,87,CN,1562177682,83,31.87,121.18,73.99,5.14
Qaanaaq,60,GL,1562177682,44,77.48,-69.36,46.7,2.33
Srednekolymsk,100,RU,1562177683,58,67.46,153.71,53.36,7.43
Airai,37,TL,1562177683,84,-8.93,125.41,65.96,5.99
Lompoc,90,US,1562177540,77,34.64,-120.46,73.0,10.29
Vila Velha,40,BR,1562177683,70,-3.71,-38.6,84.2,12.75
Neiafu,40,TO,1562177683,83,-18.65,-173.98,75.2,12.75
Neiafu,40,TO,1562177683,83,-18.65,-173.98,75.2,12.75
Tacoronte,75,ES,1562177684,77,28.48,-16.41,79.0,20.8
Izumo,75,JP,1562177684,88,35.37,132.75,73.4,3.36
Awjilah,0,LY,1562177135,20,29.14,21.3,85.76,13.33
Rokupr,75,SL,1562177684,78,9.01,-12.95,80.6,9.17
Hofn,75,IS,1562177578,71,64.25,-15.21,53.6,6.93
Chuy,69,UY,1562177099,64,-33.69,-53.46,49.04,18.16
Naze,100,NG,1562177118,93,5.43,7.07,75.14,6.13
Nusaybin,0,TR,1562177684,16,37.08,41.21,87.8,20.8
Codrington,75,AU,1562177684,93,-28.95,153.24,66.2,6.87
Lakes Entrance,9,AU,1562177685,94,-37.88,147.99,39.99,1.01
Ponta do Sol,13,BR,1562177685,37,-20.63,-46.0,76.58,10.71
Ponta do Sol,13,BR,1562177685,37,-20.63,-46.0,76.58,10.71
Anahawan,14,PH,1562177685,87,8.84,125.66,74.24,5.59
Enterprise,1,US,1562177685,7,36.05,-115.22,93.2,18.34
Bitung,40,ID,1562177685,100,1.44,125.19,73.4,1.88
Kavaratti,100,IN,1562177686,77,10.57,72.64,83.6,16.71
Faya,20,SA,1562177167,49,18.39,42.45,77.0,6.93
Vanimo,46,PG,1562177241,79,-2.67,141.3,80.36,6.33
Butaritari,2,KI,1562177686,70,3.07,172.79,83.42,2.64
Carnarvon,0,ZA,1562177686,34,-30.97,22.13,49.58,6.31
Zalantun,11,CN,1562177686,90,48.0,122.72,57.5,2.01
Changji,100,CN,1562177686,88,32.07,116.17,73.7,5.68
Soe,100,EE,1562177687,67,57.91,26.05,57.2,13.87
Gushikawa,40,JP,1562177687,88,26.35,127.87,82.4,10.29
Roald,75,NO,1562177687,87,62.58,6.12,46.0,16.11
Bethel,90,US,1562176977,100,60.79,-161.76,53.6,20.8
Great Bend,75,US,1562177687,74,38.36,-98.78,86.0,12.75
Mahebourg,75,MU,1562177687,94,-20.41,57.7,69.8,3.36
Grand-Santi,43,GF,1562177687,50,4.27,-54.38,89.0,3.29
Sao Miguel do Araguaia,0,BR,1562177688,19,-13.28,-50.16,95.66,6.31
Sikonge,24,TZ,1562177224,41,-5.63,32.75,71.72,3.36
Barrow,68,AR,1562177688,57,-38.31,-60.23,45.08,20.09
Finnsnes,90,NO,1562177688,70,69.23,17.98,55.99,5.82
Syracuse,20,US,1562177523,61,43.05,-76.15,86.0,2.95
Fort Walton Beach,75,US,1562177526,52,30.41,-86.62,93.99,7.25
Fort Walton Beach,75,US,1562177526,52,30.41,-86.62,93.99,7.25
Zhezkazgan,33,KZ,1562177688,73,47.8,67.71,68.12,15.48
Ekibastuz,31,KZ,1562177689,44,51.72,75.32,67.58,11.68
Chokurdakh,100,RU,1562177540,85,70.62,147.9,37.88,6.58
Flinders,75,AU,1562177699,100,-34.58,150.85,60.01,8.05
Rockport,40,US,1562177699,66,28.02,-97.05,91.0,14.99
Chik,0,RU,1562177699,77,54.99,82.44,69.8,2.24
Chik,0,RU,1562177699,77,54.99,82.44,69.8,2.24
Kruisfontein,0,ZA,1562177699,74,-34.0,24.73,53.36,1.97
Kabinda,17,CD,1562177700,32,-6.14,24.49,80.9,4.23
Atikokan,86,CA,1562177700,46,48.76,-91.62,76.4,4.27
Santa Rosa,31,AR,1562177482,65,-36.62,-64.29,47.78,17.76
Swan Hill,0,AU,1562177700,94,-35.34,143.56,42.74,8.3
Thinadhoo,65,MV,1562177700,80,0.53,72.93,83.6,12.66
Byron Bay,40,AU,1562177700,72,-28.65,153.62,68.0,18.34
Leh,0,IN,1562177701,42,34.16,77.58,38.24,4.7
Belaya Kalitva,0,RU,1562177701,61,48.18,40.79,72.08,9.55
Fort Nelson,75,CA,1562177701,63,58.81,-122.69,60.8,2.24
Fort Nelson,75,CA,1562177701,63,58.81,-122.69,60.8,2.24
Antofagasta,40,CL,1562177603,62,-23.65,-70.4,59.0,11.41
Namatanai,71,PG,1562177701,83,-3.66,152.44,78.92,13.65
Laramie,75,US,1562177702,44,41.31,-105.59,77.0,12.75
Kaitangata,46,NZ,1562177702,75,-46.28,169.85,45.0,8.01
Teodoro Sampaio,100,BR,1562177432,53,-22.53,-52.17,76.04,3.4
Nara,75,JP,1562177702,100,34.68,135.8,73.99,10.29
Nara,75,JP,1562177702,100,34.68,135.8,73.99,10.29
Nara,75,JP,1562177702,100,34.68,135.8,73.99,10.29
Kapuskasing,75,CA,1562177703,42,49.42,-82.43,84.2,10.29
Sao Joao da Barra,0,BR,1562177703,38,-21.64,-41.05,89.6,9.17
Le Port,100,FR,1562177703,24,42.87,1.37,82.0,1.92
Clermont,0,FR,1562177704,43,49.38,2.41,75.99,14.99
Roura,17,GF,1562177704,70,4.73,-52.33,87.8,9.17
Roura,17,GF,1562177704,70,4.73,-52.33,87.8,9.17
Oranjemund,0,ZA,1562177704,69,-28.55,16.43,58.76,15.41
Chihuahua,40,MX,1562177419,37,28.66,-106.08,88.0,10.38
Miraflores,0,PE,1562177704,13,-16.39,-71.52,71.6,6.93
Tezu,77,IN,1562177257,88,27.93,96.16,75.5,3.22
Makakilo City,40,US,1562177139,83,21.35,-158.09,80.01,6.93
Caravelas,0,BR,1562177705,63,-17.73,-39.27,82.7,6.69
Wanning,20,AT,1562177705,38,48.64,13.53,77.0,10.29
Moose Factory,75,CA,1562177576,40,51.26,-80.61,86.0,12.75
Santa Cruz,42,BR,1562177454,46,-6.22,-36.02,85.76,11.92
Egvekinot,30,RU,1562177223,66,66.32,-179.17,56.42,7.02
Egvekinot,30,RU,1562177223,66,66.32,-179.17,56.42,7.02
College,90,US,1562177556,72,64.86,-147.8,64.99,3.36
Rawson,0,AR,1562177468,51,-43.3,-65.11,40.22,17.45
Khatanga,100,RU,1562177569,91,71.98,102.47,50.84,9.44
Khatanga,100,RU,1562177569,91,71.98,102.47,50.84,9.44
Klaksvik,42,FO,1562177132,100,62.23,-6.59,50.0,12.75
Eureka,75,US,1562177667,87,40.8,-124.16,69.01,9.17
Eureka,75,US,1562177667,87,40.8,-124.16,69.01,9.17
Meulaboh,100,ID,1562177706,71,4.14,96.13,83.78,4.0
Cabo San Lucas,5,MX,1562176912,65,22.89,-109.91,91.99,9.17
Vardo,75,US,1562177716,49,39.62,-77.74,91.0,3.36
Ponta Delgada,75,PT,1562177716,73,37.73,-25.67,71.6,11.41
Gobo,75,JP,1562177716,100,33.89,135.15,73.4,10.29
Gobo,75,JP,1562177716,100,33.89,135.15,73.4,10.29
Goma,29,CD,1562177717,82,-1.67,29.23,56.96,1.28
Katsuura,75,JP,1562177717,94,33.93,134.5,72.0,12.75
Komsomolskiy,20,RU,1562177717,60,67.55,63.78,72.98,11.03
Avera,1,US,1562177698,52,33.19,-82.53,99.0,4.18
Innisfail,16,AU,1562177718,90,-17.52,146.03,60.92,5.61
Innisfail,16,AU,1562177718,90,-17.52,146.03,60.92,5.61
Gat,0,SN,1562177718,43,14.69,-16.54,89.6,13.87
Tiksi,100,RU,1562177506,88,71.64,128.87,39.14,2.89
Bilibino,75,RU,1562177206,84,68.06,166.44,44.36,1.34
Bilibino,75,RU,1562177206,84,68.06,166.44,44.36,1.34
Laguna,40,BZ,1562177718,59,16.17,-88.94,91.4,6.93
Laguna,40,BZ,1562177718,59,16.17,-88.94,91.4,6.93
Laguna,40,BZ,1562177718,59,16.17,-88.94,91.4,6.93
Laguna,40,BZ,1562177718,59,16.17,-88.94,91.4,6.93
Purwodadi,1,ID,1562177719,84,-7.08,110.92,74.96,4.99
Barcelona,0,ES,1562177448,61,41.38,2.18,88.0,3.36
Cidreira,0,BR,1562177719,47,-30.17,-50.22,54.8,16.04
Berezovyy,7,RU,1562177719,93,51.67,135.7,54.08,2.39
Berezovyy,7,RU,1562177719,93,51.67,135.7,54.08,2.39
Akdepe,0,TM,1562177719,30,42.05,59.39,84.2,6.93
Inirida,99,CO,1562177720,79,3.87,-67.92,79.82,1.01
Inirida,99,CO,1562177720,79,3.87,-67.92,79.82,1.01
Ambon,0,FR,1562177720,50,47.55,-2.56,80.01,14.99
Hermanus,0,ZA,1562177720,79,-34.42,19.24,60.01,3.0
Ossora,55,RU,1562177720,88,59.24,163.07,51.74,1.12
Sapa,20,PH,1562177720,74,14.32,120.76,84.99,2.24
Campo Verde,13,PE,1562177720,44,-8.47,-74.81,92.24,3.51
Douglas,75,US,1562177721,82,58.28,-134.39,64.4,10.29
Narragansett,1,US,1562177721,48,41.45,-71.45,91.4,6.93
Narragansett,1,US,1562177721,48,41.45,-71.45,91.4,6.93
Provideniya,0,RU,1562177721,72,64.42,-173.23,51.38,4.18
Bathsheba,20,BB,1562177721,55,13.22,-59.52,89.6,24.16
Bathsheba,20,BB,1562177721,55,13.22,-59.52,89.6,24.16
Isla Mujeres,40,MX,1562177489,70,21.23,-86.73,89.01,8.05
Sitka,0,US,1562177722,60,37.17,-99.65,86.0,5.99
Sitka,0,US,1562177722,60,37.17,-99.65,86.0,5.99
Vanavara,66,RU,1562177240,62,60.35,102.28,54.44,2.42
Pizarro,67,CO,1562177722,81,4.95,-77.37,80.0,8.34
Dharampur,0,IN,1562177722,35,30.9,77.02,81.8,4.14
Fairbanks,90,US,1562177668,72,64.84,-147.72,66.0,3.36
Jalu,0,LY,1562177722,20,29.03,21.55,87.56,8.21
Lishui,100,CN,1562177722,99,28.45,119.91,71.18,1.36
Udachnyy,90,RU,1562177723,61,66.42,112.4,48.2,2.24
Carman,90,CA,1562177723,53,49.51,-98.0,71.6,3.36
Mareeba,20,AU,1562177723,82,-16.99,145.42,62.6,5.82
Bilma,45,NE,1562177224,21,18.69,12.92,97.82,5.32
Lekoni,84,GA,1562177733,54,-1.58,14.26,82.34,6.15
Wladyslawowo,20,PL,1562177733,47,54.79,18.4,64.0,20.8
Saint-Pierre,0,FR,1562177734,31,48.95,4.24,78.8,13.87
Thompson,75,CA,1562177734,54,55.74,-97.86,57.2,14.99
Lorengau,19,PG,1562177734,83,-2.02,147.27,78.02,4.38
Dunedin,27,NZ,1562177734,71,-45.87,170.5,48.0,21.99
Tecpan,75,GT,1562177734,60,14.76,-90.99,73.4,18.34
Beloha,0,MG,1562177585,78,-25.17,45.06,62.72,5.17
Hukuntsi,0,BW,1562177734,15,-23.98,21.76,54.8,5.39
Oda,97,JP,1562177735,94,35.19,132.5,70.82,5.46
Kirakira,83,SB,1562177678,88,-10.46,161.92,77.84,15.43
Salinopolis,5,BR,1562177735,74,-0.61,-47.36,82.88,19.57
Batticaloa,84,LK,1562177735,72,7.71,81.69,79.28,3.31
Port Blair,100,IN,1562177225,80,11.67,92.75,83.42,23.49
Pundaguitan,72,PH,1562177735,75,6.37,126.17,80.54,2.42
Azare,55,NG,1562177735,38,11.67,10.19,90.98,5.7
Pangnirtung,75,CA,1562177156,76,66.15,-65.72,50.0,12.75
Mwense,0,ZM,1562177736,45,-10.39,28.7,66.68,4.23
Guerrero Negro,0,MX,1562177239,84,27.97,-114.04,67.22,13.09
Chama,56,ZM,1562177736,54,-11.22,33.16,69.74,7.96
Preobrazheniye,89,RU,1562177736,98,42.9,133.91,56.06,2.66
Saint George,20,GR,1562177581,16,39.45,22.34,95.0,9.17
Sheffield Lake,75,US,1562177736,74,41.49,-82.1,84.99,6.93
Bealanana,42,MG,1562177737,86,-14.54,48.75,59.48,7.07
Raudeberg,75,NO,1562177737,81,61.99,5.14,48.2,17.22
Raudeberg,75,NO,1562177737,81,61.99,5.14,48.2,17.22
Honiara,20,SB,1562177737,94,-9.43,159.96,75.2,3.36
Yulara,0,AU,1562177737,31,-25.24,130.99,48.2,8.05
Ximei,75,TW,1562177738,83,23.74,120.51,82.0,8.05
Fare,100,PF,1562177738,70,-16.7,-151.02,76.58,33.2
Kapit,96,MY,1562177738,98,2.02,112.94,72.44,0.92
Kapit,96,MY,1562177738,98,2.02,112.94,72.44,0.92
Viedma,92,AR,1562177738,57,-40.81,-62.99,44.54,20.62
Tuktoyaktuk,20,CA,1562177739,71,69.44,-133.03,53.6,5.82
Bicas,3,BR,1562177739,45,-21.72,-43.06,79.64,6.93
Bicas,3,BR,1562177739,45,-21.72,-43.06,79.64,6.93
Talcahuano,75,CL,1562177739,87,-36.72,-73.12,55.4,11.41
Tocopilla,89,CL,1562177739,84,-22.09,-70.2,57.86,12.01
Mehamn,90,NO,1562177739,93,71.03,27.85,46.4,8.05
Panguna,78,PG,1562177740,80,-6.32,155.48,80.54,7.56
Tommot,100,RU,1562177532,76,58.97,126.27,45.62,4.72
Kahului,20,US,1562177154,69,20.89,-156.47,78.8,4.7
Saldanha,98,PT,1562177740,21,41.42,-6.55,87.56,7.58
Saldanha,98,PT,1562177740,21,41.42,-6.55,87.56,7.58
Ferrol,20,ES,1562177740,69,43.48,-8.23,78.8,6.93
Haines Junction,87,CA,1562177740,62,60.75,-137.51,60.02,4.34
Torbay,90,CA,1562177740,82,47.66,-52.73,60.01,14.99
Nelson Bay,90,AU,1562177741,72,-32.72,152.14,64.0,13.87
Northam,33,AU,1562177741,37,-31.65,116.67,66.2,17.22
Gamboma,94,CG,1562177741,42,-1.87,15.88,86.48,2.26
Phuket,20,TH,1562177584,70,7.89,98.4,84.2,13.87
Lodwar,100,KE,1562177751,35,3.12,35.6,87.92,2.42
Lodwar,100,KE,1562177751,35,3.12,35.6,87.92,2.42
Ukiah,1,US,1562177752,43,39.15,-123.21,79.0,4.7
Ukiah,1,US,1562177752,43,39.15,-123.21,79.0,4.7
Barabinsk,100,RU,1562177752,80,55.35,78.35,61.64,5.39
Kungurtug,47,RU,1562177752,94,50.6,97.53,47.6,2.55
Kungurtug,47,RU,1562177752,94,50.6,97.53,47.6,2.55
Grand-Bourg,20,GP,1562177752,62,15.88,-61.31,89.6,16.11
Saint-Joseph,0,FR,1562177752,65,43.56,6.97,86.0,2.24
Woodward,1,US,1562177753,45,36.43,-99.39,91.99,18.34
Adrar,23,DZ,1562177753,7,27.87,-0.29,114.8,9.17
Tiznit,0,MA,1562177729,84,29.7,-9.73,67.22,14.2
Rudnogorsk,51,RU,1562177753,52,57.27,103.75,56.42,6.89
Karabulak,100,KZ,1562177753,63,44.91,78.49,68.84,4.81
Maues,34,BR,1562177753,46,-3.38,-57.72,92.96,4.65
Pechora,22,RU,1562177682,55,65.12,57.16,70.28,5.77
Jacareacanga,21,BR,1562177210,38,-6.22,-57.76,94.04,4.74
Khani,75,GE,1562177754,73,41.96,42.96,73.4,2.24
Vrangel,98,RU,1562177754,96,42.73,133.08,57.68,2.68
Richards Bay,0,ZA,1562177754,58,-28.77,32.06,69.02,4.25
Beringovskiy,0,RU,1562177754,65,63.05,179.32,56.6,7.23
Urengoy,50,RU,1562177725,45,65.96,78.37,70.82,5.28
Chase,75,US,1562177754,74,38.35,-98.35,86.0,18.34
Souillac,0,FR,1562177755,40,45.6,-0.6,89.01,13.87
Puerto Escondido,75,MX,1562177755,62,15.86,-97.07,87.8,9.17
Tutoia,40,BR,1562177755,62,-2.76,-42.27,89.6,18.34
Melfi,40,IT,1562177755,38,41.0,15.66,93.2,11.41
Santa Luzia,40,BR,1562177755,32,-19.77,-43.85,84.2,11.41
Vasai,34,IN,1562177756,81,22.43,69.93,84.32,15.82
Chalus,75,IR,1562177756,69,36.66,51.42,77.0,1.99
Wuhu,69,CN,1562177756,88,31.35,118.43,75.2,4.47
Altay,18,CN,1562177756,51,47.83,88.13,54.62,6.87
Adana,0,TR,1562177756,78,37.0,35.33,80.6,5.82
Waingapu,64,ID,1562177756,82,-9.65,120.26,69.38,11.65
Praia,40,BR,1562177757,28,-20.25,-43.81,84.2,11.41
Casper,40,US,1562177511,56,42.87,-106.31,73.0,6.93
Chistogorskiy,58,RU,1562177757,88,53.98,87.38,55.88,2.48
Tazovskiy,0,RU,1562177757,57,67.47,78.7,60.74,7.29
Paris,0,FR,1562177151,41,48.86,2.35,77.0,13.87
Ampere,1,US,1562177757,44,38.1,-121.24,81.0,4.7
Sereflikochisar,0,TR,1562177757,37,38.94,33.54,76.22,14.34
Sereflikochisar,0,TR,1562177757,37,38.94,33.54,76.22,14.34
Keetmanshoop,0,NA,1562177758,20,-26.57,18.15,62.6,8.05
Ola,44,RU,1562177758,94,59.58,151.3,44.54,8.86
Longyearbyen,75,NO,1562177710,75,78.22,15.63,44.6,9.17
Zaykovo,94,RU,1562177758,93,57.56,62.76,59.3,4.07
